zip_path,reactant_metal_oxidation_states,product_metal_oxidation_states
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C0DT01299H/c0dt01299h/11_0_1.zip,Pt0:2,Pt0:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/B901697J/b901697j/13_0_1.zip,Pt0:2;Pt1:2,Pt0:2;Pt1:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/B901697J/b901697j/28_0_1.zip,Pt0:0;Pt1:1,Pt0:1;Pt1:0
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/B901697J/b901697j/24_0_2.zip,Pt0:6;Pt1:5,Pt0:6;Pt1:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/om500416n/om500416n_si_001/05_TS-RE-c_0_2.zip,Pt0:7,Pt0:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.organomet.0c00330/om0c00330_si_002/25_cis-3b_Au-assisted_C-H_OA_TS_product_0_2.zip,Au0:3;Pt2:3,Au0:3;Pt2:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.organomet.0c00598/om0c00598_si_002/57_TS1-Pt_E_RB3LYP_0_2.zip,Pt22:3,Pt22:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C2OB25419K/c2ob25419k/14_0_2.zip,Au12:2,Au12:0
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C2OB25419K/c2ob25419k/04_0_2.zip,Au8:0,Au8:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C2OB25419K/c2ob25419k/34_0_2.zip,Au8:0,Au8:0
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C2OB25419K/c2ob25419k/40_0_2.zip,Au12:0,Au12:1
